Temperature - (Celsius), Year, Statistics, Country, ISO3
22.51, 1924, Apr Average, Tanzania, United Republic of, TZA
22.1045, 1924, May Average, Tanzania, United Republic of, TZA
20.7681, 1924, Jun Average, Tanzania, United Republic of, TZA
20.2427, 1924, Jul Average, Tanzania, United Republic of, TZA
21.0519, 1924, Aug Average, Tanzania, United Republic of, TZA
22.4696, 1924, Sep Average, Tanzania, United Republic of, TZA
23.6711, 1924, Oct Average, Tanzania, United Republic of, TZA
23.7808, 1924, Nov Average, Tanzania, United Republic of, TZA
23.1937, 1924, Dec Average, Tanzania, United Republic of, TZA
21.8466, 1925, Jan Average, Tanzania, United Republic of, TZA
22.5663, 1925, Feb Average, Tanzania, United Republic of, TZA
22.7501, 1925, Mar Average, Tanzania, United Republic of, TZA
22.8561, 1925, Apr Average, Tanzania, United Republic of, TZA
21.8884, 1925, May Average, Tanzania, United Republic of, TZA
20.8003, 1925, Jun Average, Tanzania, United Republic of, TZA
20.2877, 1925, Jul Average, Tanzania, United Republic of, TZA
21.0072, 1925, Aug Average, Tanzania, United Republic of, TZA
22.152, 1925, Sep Average, Tanzania, United Republic of, TZA
23.6208, 1925, Oct Average, Tanzania, United Republic of, TZA
23.7416, 1925, Nov Average, Tanzania, United Republic of, TZA
23.4371, 1925, Dec Average, Tanzania, United Republic of, TZA
23.0053, 1926, Jan Average, Tanzania, United Republic of, TZA
24.6993, 1926, Feb Average, Tanzania, United Republic of, TZA
23.3074, 1926, Mar Average, Tanzania, United Republic of, TZA
23.4178, 1926, Apr Average, Tanzania, United Republic of, TZA
21.8123, 1926, May Average, Tanzania, United Republic of, TZA
20.4781, 1926, Jun Average, Tanzania, United Republic of, TZA
20.1741, 1926, Jul Average, Tanzania, United Republic of, TZA
20.7317, 1926, Aug Average, Tanzania, United Republic of, TZA
23.1053, 1926, Sep Average, Tanzania, United Republic of, TZA
23.8168, 1926, Oct Average, Tanzania, United Republic of, TZA
23.8334, 1926, Nov Average, Tanzania, United Republic of, TZA
22.6163, 1926, Dec Average, Tanzania, United Republic of, TZA
24.0813, 1927, Jan Average, Tanzania, United Republic of, TZA
23.5801, 1927, Feb Average, Tanzania, United Republic of, TZA
23.3919, 1927, Mar Average, Tanzania, United Republic of, TZA
22.1945, 1927, Apr Average, Tanzania, United Republic of, TZA
21.0392, 1927, May Average, Tanzania, United Republic of, TZA
19.4225, 1927, Jun Average, Tanzania, United Republic of, TZA
18.8394, 1927, Jul Average, Tanzania, United Republic of, TZA
20.9932, 1927, Aug Average, Tanzania, United Republic of, TZA
